id,name,rarity,keywords,set_name,set_type
213407,Sea of Clouds,rare,[],Battlebond,draft_innovation
213408,Sea of Clouds [Foil],rare,[],Battlebond,draft_innovation
213409,Mountain [Full Art],common,[],The List,masters
213410,Mountain [Full Art] [Foil],common,[],The List,masters
213411,Bind the Monster,common,[],Kaldheim,expansion
213412,Bind the Monster [Foil],common,[],Kaldheim,expansion
213413,Awakening Zone,rare,[],Rise of the Eldrazi,expansion
213414,Awakening Zone [Foil],rare,[],Rise of the Eldrazi,expansion
213415,Gruul Ragebeast,rare,[],Gatecrash,expansion
213416,Gruul Ragebeast [Foil],rare,[],Gatecrash,expansion
213417,Ronom Unicorn,common,[],Ultimate Masters,masters
213418,Ronom Unicorn [Foil],common,[],Ultimate Masters,masters
213419,Crackling Club,common,[],Torment,expansion
213420,Crackling Club [Foil],common,[],Torment,expansion
213421,Thorn Lieutenant,rare,[],Core Set 2019,core
213422,Thorn Lieutenant [Foil],rare,[],Core Set 2019,core
213423,"Pianna, Nomad Captain",rare,[],Odyssey,expansion
213424,"Pianna, Nomad Captain [Foil]",rare,[],Odyssey,expansion
213425,Cinder Barrens,common,[],Commander 2019,commander
213426,Tidal Kraken,rare,[],Eighth Edition,core
213427,Tidal Kraken [Foil],rare,[],Eighth Edition,core
213428,Changeling Outcast,common,[],Modern Horizons,draft_innovation
213429,Changeling Outcast [Foil],common,[],Modern Horizons,draft_innovation
213430,Damnable Pact,rare,[],Commander 2017,commander
213431,Shock,common,[],Salvat 2005,box
213432,Forest,common,[],Lorwyn,expansion
213433,Forest [Foil],common,[],Lorwyn,expansion
213434,Prodigal Pyromancer,uncommon,[],Magic 2011,core
213435,Prodigal Pyromancer [Foil],uncommon,[],Magic 2011,core
213436,Skyhunter Patrol,common,[],Salvat 2005,box
213437,Stoic Builder,common,[],Shadows over Innistrad,expansion
213438,Stoic Builder [Foil],common,[],Shadows over Innistrad,expansion
213440,Rebirth,rare,[],Fourth Edition Foreign Black Border,core
213441,Soul of Eternity,rare,[],Commander Legends,draft_innovation
213442,Soul of Eternity [Foil],rare,[],Commander Legends,draft_innovation
213443,Scoured Barrens,common,[],Khans of Tarkir,expansion
213444,Scoured Barrens [Foil],common,[],Khans of Tarkir,expansion
213445,Feral Shadow,common,[],Classic Sixth Edition,core
213446,Game of Chaos,rare,[],Ice Age,expansion
213447,Drownyard Behemoth,uncommon,[],Eldritch Moon,expansion
213448,Drownyard Behemoth [Foil],uncommon,[],Eldritch Moon,expansion
213449,Scarecrone,rare,[],The List,masters
213450,Oak Street Innkeeper,uncommon,[],Return to Ravnica,expansion
213451,Oak Street Innkeeper [Foil],uncommon,[],Return to Ravnica,expansion
213452,Desperate Ritual,uncommon,[],Modern Masters,masters
213453,Desperate Ritual [Foil],uncommon,[],Modern Masters,masters
213454,Conclave Naturalists,common,[],Double Masters,masters
213455,Conclave Naturalists [Foil],common,[],Double Masters,masters
213456,Jungle Hollow,common,[],Commander 2018,commander
213457,Spirit,common,[],Eternal Masters Tokens,token
213458,Cavalier of Dawn [Promo],mythic,[],Core Set 2020 Promos,promo
213459,Cavalier of Dawn [Promo] [Foil],mythic,[],Core Set 2020 Promos,promo
213460,Charm Peddler,common,[],Mercadian Masques,expansion
213461,Charm Peddler [Foil],common,[],Mercadian Masques,expansion
213462,Hostile Desert [Promo] [Foil],rare,[],Hour of Devastation Promos,promo
213463,Island [Promo],common,[],Asia Pacific Land Program,promo
213464,Island,common,[],Hour of Devastation,expansion
213465,Island [Foil],common,[],Hour of Devastation,expansion
213466,Reaper from the Abyss,mythic,[],Commander 2014,commander
213467,Highspire Infusion,common,[],Aether Revolt,expansion
213468,Highspire Infusion [Foil],common,[],Aether Revolt,expansion
213469,Angelsong,common,[],Shards of Alara,expansion
213470,Angelsong [Foil],common,[],Shards of Alara,expansion
213471,Archivist,rare,[],Eighth Edition,core
213472,Archivist [Foil],rare,[],Eighth Edition,core
213473,Ascendant Spirit [Promo],rare,[],Kaldheim Promos,promo
213474,Ascendant Spirit [Promo] [Foil],rare,[],Kaldheim Promos,promo
213475,Mammoth Umbra,uncommon,[],Planechase 2012,planechase
213476,Rite of the Serpent,common,[],Mystery Booster,masters
213477,Goblin Raider,common,[],Eighth Edition,core
213478,Goblin Raider [Foil],common,[],Eighth Edition,core
213480,Grisly Salvage,common,[],Commander Anthology,commander
213481,Pristine Skywise,rare,[],Dragons of Tarkir,expansion
213482,Pristine Skywise [Foil],rare,[],Dragons of Tarkir,expansion
213483,Goblin Piker,common,[],Magic 2012,core
213484,Goblin Piker [Foil],common,[],Magic 2012,core
213485,Vulshok Battlemaster,rare,[],Mirrodin,expansion
213486,Vulshok Battlemaster [Foil],rare,[],Mirrodin,expansion
213487,Carrion Feeder,common,[],Duel Decks: Phyrexia vs. the Coalition,duel_deck
213488,Mahamoti Djinn,rare,[],Limited Edition Beta,core
213489,Leap,common,[],Stronghold,expansion
213490,Loxodon Warhammer,uncommon,[],Commander 2017,commander
213491,Rootwalla,common,[],Ninth Edition,core
213492,Rootwalla [Foil],common,[],Ninth Edition,core
213493,Snow Hound,uncommon,[],Ice Age,expansion
213494,Grave Bramble,common,[],Jumpstart,draft_innovation
213495,Fields of Summer,common,[],Planechase Planes,planechase
213496,Natural Order,rare,[],Visions,expansion
213497,Windfall,uncommon,[],Kaldheim Commander,commander
213498,Jungle Hollow,common,[],Commander 2016,commander
213499,Dwarven Weaponsmith,uncommon,[],Antiquities,expansion
213500,Graypelt Refuge,uncommon,[],Commander 2019,commander
213501,Lys Alana Huntmaster,common,[],Kaldheim Commander,commander
213502,Temple of Mystery [Promo] [Foil],rare,[],Core Set 2021 Promos,promo
213503,Lightning Strike,uncommon,[],Core Set 2019,core
213504,Lightning Strike [Foil],uncommon,[],Core Set 2019,core
213505,Forgotten Cave,common,[],Commander Legends,draft_innovation
213506,Forgotten Cave [Foil],common,[],Commander Legends,draft_innovation
213507,Demon [Promo],common,[],Magic Player Rewards 2003,promo
213508,Spitting Earth,common,[],Duel Decks: Elves vs. Goblins,duel_deck
213509,Honor's Reward,uncommon,[],Fate Reforged,expansion
213510,Honor's Reward [Foil],uncommon,[],Fate Reforged,expansion
213511,Vow of Duty,uncommon,[],Commander Anthology,commander
213512,Imperious Perfect [Full Art],rare,[],The List,masters
213513,Swamp [Foil],common,[],Secret Lair Drop,box
213514,Collector Ouphe,rare,[],Modern Horizons,draft_innovation
213515,Collector Ouphe [Foil],rare,[],Modern Horizons,draft_innovation
213516,Suture Spirit,uncommon,[],Eventide,expansion
213517,Suture Spirit [Foil],uncommon,[],Eventide,expansion
213518,Lava Spike,special,[],Time Spiral Remastered,masters
213519,Lava Spike [Foil],special,[],Time Spiral Remastered,masters
213520,Devouring Deep,common,[],Legends,expansion
213521,Tribal Flames,special,[],Time Spiral Timeshifted,expansion
213522,Tribal Flames [Foil],special,[],Time Spiral Timeshifted,expansion
213523,Brineborn Cutthroat,uncommon,[],Core Set 2020,core
213524,Brineborn Cutthroat [Foil],uncommon,[],Core Set 2020,core
213525,Dance of the Manse [Promo],rare,[],Throne of Eldraine Promos,promo
213526,Dance of the Manse [Promo] [Foil],rare,[],Throne of Eldraine Promos,promo
213527,Monkey Monkey Monkey [Foil],common,[],Unhinged,funny
213528,Banishing Light,uncommon,[],Kaldheim Commander,commander
213529,Hungry Mist,common,[],Homelands,expansion
213530,Centaur's Herald,common,[],Return to Ravnica,expansion
213531,Centaur's Herald [Foil],common,[],Return to Ravnica,expansion
213532,Flay Essence // Flay Essence,common,[],Modern Horizons 2 Art Series,memorabilia
213533,Flay Essence // Flay Essence [Foil],common,[],Modern Horizons 2 Art Series,memorabilia
213534,Return to Nature,common,[],War of the Spark,expansion
213535,Return to Nature [Foil],common,[],War of the Spark,expansion
213536,Fumigate [Promo],rare,[],Kaladesh Promos,promo
213537,Fumigate [Promo] [Foil],rare,[],Kaladesh Promos,promo
213538,Ulvenwald Observer [Promo] [Foil],rare,[],Eldritch Moon Promos,promo
213539,Sylvan Messenger,uncommon,[],Kaldheim Commander,commander
213540,Unseen Walker,uncommon,[],Mirage,expansion
213541,Caller of the Pack,uncommon,[],Commander Anthology,commander
213542,Swamp,common,[],Core Set 2021,core
213543,Swamp [Foil],common,[],Core Set 2021,core
213544,Swamp,common,[],Duel Decks: Blessed vs. Cursed,duel_deck
213545,Keening Banshee,uncommon,[],Ravnica: City of Guilds,expansion
213546,Keening Banshee [Foil],uncommon,[],Ravnica: City of Guilds,expansion
213547,Basri,mythic,[],Jumpstart Front Cards,memorabilia
213548,Basri [Foil],mythic,[],Jumpstart Front Cards,memorabilia
213549,Bog Glider,common,[],Prophecy,expansion
213550,Bog Glider [Foil],common,[],Prophecy,expansion
213551,Island,common,[],Kaladesh,expansion
213552,Island [Foil],common,[],Kaladesh,expansion
213553,Rakdos Signet,rare,[],Secret Lair Drop,box
213554,Rakdos Signet [Foil],rare,[],Secret Lair Drop,box
213555,Oreskos Explorer,uncommon,[],Commander 2021,commander
213556,Opposition Agent,rare,[],Commander Legends,draft_innovation
213557,Opposition Agent [Foil],rare,[],Commander Legends,draft_innovation
213558,Nullpriest of Oblivion,rare,[],Zendikar Rising,expansion
213559,Nullpriest of Oblivion [Foil],rare,[],Zendikar Rising,expansion
213560,Ethereal Absolution,rare,[],Ravnica Allegiance,expansion
213561,Ethereal Absolution [Foil],rare,[],Ravnica Allegiance,expansion
213562,"Akuta, Born of Ash",rare,[],Saviors of Kamigawa,expansion
213563,"Akuta, Born of Ash [Foil]",rare,[],Saviors of Kamigawa,expansion
213564,Undying Rage,common,[],Eternal Masters,masters
213565,Undying Rage [Foil],common,[],Eternal Masters,masters
213566,Exsanguinate,uncommon,[],Scars of Mirrodin,expansion
213567,Exsanguinate [Foil],uncommon,[],Scars of Mirrodin,expansion
213568,Verdant Eidolon,common,[],Ultimate Masters,masters
213569,Verdant Eidolon [Foil],common,[],Ultimate Masters,masters
213570,Filigree Sages,uncommon,[],Shards of Alara,expansion
213571,Filigree Sages [Foil],uncommon,[],Shards of Alara,expansion
213572,Abyssal Hunter,rare,[],Mirage,expansion
213573,Isolated Chapel [Promo],rare,[],Dominaria Promos,promo
213574,Isolated Chapel [Promo] [Foil],rare,[],Dominaria Promos,promo
213575,Enchanted Prairie,rare,[],Mystery Booster Playtest Cards 2021,funny
213576,Tyrant's Machine,common,[],Magic 2015,core
213577,Tyrant's Machine [Foil],common,[],Magic 2015,core
213578,Toils of Night and Day,common,[],Betrayers of Kamigawa,expansion
213579,Toils of Night and Day [Foil],common,[],Betrayers of Kamigawa,expansion
213580,Mox Amber [Promo] [Foil],mythic,[],Dominaria Promos,promo
213581,"Lu Xun, Scholar General",rare,[],Portal Three Kingdoms,starter
213582,Foundry Street Denizen,common,[],Magic 2015,core
213583,Foundry Street Denizen [Foil],common,[],Magic 2015,core
213584,Pillardrop Rescuer,common,[],Strixhaven: School of Mages,expansion
213585,Pillardrop Rescuer [Foil],common,[],Strixhaven: School of Mages,expansion
213586,Kargan Intimidator,rare,[],Zendikar Rising,expansion
213587,Kargan Intimidator [Foil],rare,[],Zendikar Rising,expansion
213588,Sacred Cat,common,[],Amonkhet,expansion
213589,Sacred Cat [Foil],common,[],Amonkhet,expansion
213590,Crystalline Giant [Promo] [Foil],rare,[],Ikoria: Lair of Behemoths Promos,promo
213591,Dark Banishing,common,[],Salvat 2005,box
213592,Telim'Tor's Edict,rare,[],Mirage,expansion
213593,Pyrite Spellbomb,common,[],Double Masters,masters
213594,Pyrite Spellbomb [Foil],common,[],Double Masters,masters
213595,Through the Breach,rare,[],Ultimate Masters,masters
213596,Through the Breach [Foil],rare,[],Ultimate Masters,masters
213597,Cave People,uncommon,[],Renaissance,masters
213598,Bloodfire Colossus,rare,[],Duel Decks: Venser vs. Koth,duel_deck
213599,Hellkite Hatchling,uncommon,[],Planechase Anthology,planechase
213600,Blue Elemental Blast,common,[],Revised Edition,core
213601,Sea Spirit,uncommon,[],Fifth Edition,core
213602,Armorcraft Judge,uncommon,[],Zendikar Rising Commander,commander
213603,Armorcraft Judge [Foil],uncommon,[],Zendikar Rising Commander,commander
213604,Fogwalker,common,[],Eldritch Moon,expansion
213605,Fogwalker [Foil],common,[],Eldritch Moon,expansion
213606,Chemister's Insight,uncommon,[],Commander 2020,commander
213607,Mind's Eye,rare,[],Mirrodin,expansion
213608,Mind's Eye [Foil],rare,[],Mirrodin,expansion
213609,Ajani's Mantra,common,[],Magic 2011,core
213610,Ajani's Mantra [Foil],common,[],Magic 2011,core
213611,Voodoo Doll,rare,[],Chronicles,masters
213612,Anthroplasm,rare,[],Urza's Legacy,expansion
213613,Anthroplasm [Foil],rare,[],Urza's Legacy,expansion
213614,Stab Wound,common,[],Duel Decks: Jace vs. Vraska,duel_deck
213615,Bone Dragon,mythic,[],Core Set 2019,core
213616,Bone Dragon [Foil],mythic,[],Core Set 2019,core
213618,Greater Mossdog [Foil],common,[],Mystery Booster Retail Edition Foils,masters
213619,Avacynian Priest,common,[],Innistrad,expansion
213620,Avacynian Priest [Foil],common,[],Innistrad,expansion
213621,Gideon of the Trials [Promo] [Foil],mythic,[],San Diego Comic-Con 2018,promo
213622,Electrolyze,rare,[],Strixhaven Mystical Archive,masterpiece
213623,Electrolyze [Foil],rare,[],Strixhaven Mystical Archive,masterpiece
213624,The Vanquisher,common,[],Born of the Gods Hero's Path,memorabilia
213625,Llanowar Reborn,uncommon,[],Commander 2015,commander
213626,"Iona, Shield of Emeria [Foil]",mythic,[],From the Vault: Angels,from_the_vault
213627,Barrage Tyrant,rare,[],Battle for Zendikar,expansion
213628,Barrage Tyrant [Foil],rare,[],Battle for Zendikar,expansion
213629,Renewed Faith,uncommon,[],Amonkhet,expansion
213630,Renewed Faith [Foil],uncommon,[],Amonkhet,expansion
213631,Terramorphic Expanse,common,[],Forgotten Realms Commander,commander
213632,Terramorphic Expanse [Foil],common,[],Forgotten Realms Commander,commander
213633,Serpent's Soul-Jar,rare,[],Kaldheim Commander,commander
213634,Handcuffs,uncommon,[],Unglued,funny
213635,Niblis of the Mist,common,[],Dark Ascension,expansion
213636,Niblis of the Mist [Foil],common,[],Dark Ascension,expansion
213637,Aven Cloudchaser,common,[],Odyssey,expansion
213638,Aven Cloudchaser [Foil],common,[],Odyssey,expansion
213639,Snake of the Golden Grove,common,[],Born of the Gods,expansion
213640,Snake of the Golden Grove [Foil],common,[],Born of the Gods,expansion
213641,Cage of Hands,common,[],Planechase Anthology,planechase
213642,Mirror of Fate,rare,[],Magic 2010,core
213643,Mirror of Fate [Foil],rare,[],Magic 2010,core
213644,Careful Consideration,uncommon,[],Time Spiral Remastered,masters
213645,Careful Consideration [Foil],uncommon,[],Time Spiral Remastered,masters
213646,Pestilent Haze,uncommon,[],Core Set 2021,core
213647,Pestilent Haze [Foil],uncommon,[],Core Set 2021,core
213648,The Magic Mirror,mythic,[],Throne of Eldraine,expansion
213649,The Magic Mirror [Foil],mythic,[],Throne of Eldraine,expansion
213650,Azra Bladeseeker,common,[],Mystery Booster,masters
213651,"Richard Garfield, Ph.D.",rare,[],Unhinged,funny
213652,Phantasmal Forces,uncommon,[],Fourth Edition Foreign Black Border,core
213653,Trollhide,common,[],Magic 2014,core
213654,Trollhide [Foil],common,[],Magic 2014,core
213655,Soul Net,uncommon,[],Limited Edition Beta,core
213656,Volrath the Fallen,rare,[],Nemesis,expansion
213657,Volrath the Fallen [Foil],rare,[],Nemesis,expansion
213658,Gangrenous Zombies,common,[],Ice Age,expansion
213659,Ninja of the New Moon,common,[],Modern Horizons,draft_innovation
213660,Ninja of the New Moon [Foil],common,[],Modern Horizons,draft_innovation
213661,Moment of Triumph,common,[],Rivals of Ixalan,expansion
213662,Moment of Triumph [Foil],common,[],Rivals of Ixalan,expansion
213663,Razorclaw Bear,rare,[],Portal Second Age,starter
213664,Burrowing,uncommon,[],Unlimited Edition,core
213665,"Omnath, Locus of Rage",mythic,[],Zendikar Rising Commander,commander
213666,"Omnath, Locus of Rage [Foil]",mythic,[],Zendikar Rising Commander,commander
213667,Meglonoth,rare,[],Salvat 2011,box
213668,Disposal Mummy,common,[],Mystery Booster,masters
213669,Fierce Empath,uncommon,[],Masters 25,masters
213670,Fierce Empath [Foil],uncommon,[],Masters 25,masters
213671,Urban Evolution,uncommon,[],Mystery Booster,masters
213672,"Ashiok, Dream Render [Foil]",uncommon,[],Secret Lair Drop,box
213673,Iwamori of the Open Fist,rare,[],Betrayers of Kamigawa,expansion
213674,Iwamori of the Open Fist [Foil],rare,[],Betrayers of Kamigawa,expansion
213675,Magmaw,uncommon,[],Ultimate Masters,masters
213676,Magmaw [Foil],uncommon,[],Ultimate Masters,masters
213677,Ceremonious Rejection,uncommon,[],Kaladesh,expansion
213678,Ceremonious Rejection [Foil],uncommon,[],Kaladesh,expansion
213679,Grim Hireling,rare,[],Forgotten Realms Commander,commander
213680,Grim Hireling [Foil],rare,[],Forgotten Realms Commander,commander
213681,Sakura-Tribe Elder [Promo] [Foil],rare,[],Junior APAC Series,promo
213682,Multiple Choice,rare,[],Strixhaven: School of Mages,expansion
213683,Multiple Choice [Foil],rare,[],Strixhaven: School of Mages,expansion
213684,Deadbridge Shaman,common,[],Mystery Booster,masters
213685,Goblin Chainwhirler [Promo] [Foil],rare,[],Dominaria Promos,promo
213686,Goblin [Promo],common,[],Magic Player Rewards 2003,promo
213687,Garruk Wildspeaker,mythic,[],Commander 2011,commander
213688,Basri's Acolyte,common,[],Core Set 2021,core
213689,Basri's Acolyte [Foil],common,[],Core Set 2021,core
213690,Dismember,special,[],Time Spiral Remastered,masters
213691,Dismember [Foil],special,[],Time Spiral Remastered,masters
213692,Dispel,common,[],Return to Ravnica,expansion
213693,Dispel [Foil],common,[],Return to Ravnica,expansion
213694,Gleam of Resistance,common,[],Mystery Booster,masters
213695,Guard Gomazoa,uncommon,[],Commander 2013,commander
213696,Firewing Phoenix,uncommon,[],Ultimate Masters,masters
213697,Firewing Phoenix [Foil],uncommon,[],Ultimate Masters,masters
213698,"Vraska, Relic Seeker [Promo] [Foil]",mythic,[],Ixalan Promos,promo
213699,Siren's Call,uncommon,[],Summer Magic / Edgar,core
213700,O-Naginata,uncommon,[],Double Masters,masters
213701,O-Naginata [Foil],uncommon,[],Double Masters,masters
213702,Treasure Map // Treasure Cove [Promo] [Foil],rare,[],Ixalan Promos,promo
213703,Urza's Mine,common,[],Double Masters,masters
213704,Urza's Mine [Foil],common,[],Double Masters,masters
213705,Ranging Raptors,uncommon,[],Game Night 2019,box
213706,Scathe Zombies,common,[],Unlimited Edition,core
213707,Iron Myr,common,[],Mirrodin,expansion
213708,Iron Myr [Foil],common,[],Mirrodin,expansion
213709,Fleshwrither,uncommon,[],Future Sight,expansion
213710,Fleshwrither [Foil],uncommon,[],Future Sight,expansion
213711,Riddlesmith,uncommon,[],Scars of Mirrodin,expansion
213712,Riddlesmith [Foil],uncommon,[],Scars of Mirrodin,expansion
213713,Cower in Fear,common,[],Modern Masters 2017,masters
213714,Cower in Fear [Foil],common,[],Modern Masters 2017,masters
213715,Dimir Locket,common,[],Zendikar Rising Commander,commander
213716,Dimir Locket [Foil],common,[],Zendikar Rising Commander,commander
213717,Guardian of Faith,rare,[],Adventures in the Forgotten Realms,expansion
213718,Guardian of Faith [Foil],rare,[],Adventures in the Forgotten Realms,expansion
213719,Commander's Sphere,common,[],Forgotten Realms Commander,commander
213720,Commander's Sphere [Foil],common,[],Forgotten Realms Commander,commander
213721,Mirari's Wake [Promo] [Foil],rare,[],Pro Tour Promos,promo
213722,"Toski, Bearer of Secrets [Showcase]",rare,[],Kaldheim,expansion
213723,"Toski, Bearer of Secrets [Showcase] [Foil]",rare,[],Kaldheim,expansion
213724,Thelonite Hermit,rare,[],Commander 2016,commander
213725,Heroism,uncommon,[],Fallen Empires,expansion
213726,Commander's Authority,uncommon,[],Avacyn Restored,expansion
213727,Commander's Authority [Foil],uncommon,[],Avacyn Restored,expansion
213728,Shanodin Dryads,common,[],Classic Sixth Edition,core
213729,Coral Fighters,uncommon,[],Mirage,expansion
213730,Casualties of War,rare,[],War of the Spark,expansion
213731,Casualties of War [Foil],rare,[],War of the Spark,expansion
213732,Glint-Eye Nephilim,rare,[],Guildpact,expansion
213733,Glint-Eye Nephilim [Foil],rare,[],Guildpact,expansion
213734,Glowspore Shaman,uncommon,[],Guilds of Ravnica,expansion
213735,Glowspore Shaman [Foil],uncommon,[],Guilds of Ravnica,expansion
213736,Flowstone Blade,common,[],Conspiracy,draft_innovation
213737,Flowstone Blade [Foil],common,[],Conspiracy,draft_innovation
213738,Solid Footing,common,[],Ikoria: Lair of Behemoths,expansion
213739,Solid Footing [Foil],common,[],Ikoria: Lair of Behemoths,expansion
213740,Dragon Breath,uncommon,[],Battlebond,draft_innovation
213741,Dragon Breath [Foil],uncommon,[],Battlebond,draft_innovation
213742,Hanweir Garrison,rare,[],Eldritch Moon,expansion
213743,Hanweir Garrison [Foil],rare,[],Eldritch Moon,expansion
213744,Hobgoblin Dragoon,common,[],Eventide,expansion
213745,Hobgoblin Dragoon [Foil],common,[],Eventide,expansion
213746,Sea Serpent,common,[],Fourth Edition Foreign Black Border,core
213747,Fork,rare,[],Summer Magic / Edgar,core
213748,Viper's Kiss,common,[],Theros,expansion
213749,Viper's Kiss [Foil],common,[],Theros,expansion
213750,Consecrated Sphinx,rare,[],Secret Lair Drop,box
213751,Consecrated Sphinx [Foil],rare,[],Secret Lair Drop,box
213752,Strength of Solidarity,common,[],Zendikar Rising,expansion
213753,Strength of Solidarity [Foil],common,[],Zendikar Rising,expansion
213754,Warp Artifact,rare,[],Foreign Black Border,core
213755,Hooting Mandrills,common,[],Khans of Tarkir,expansion
213756,Hooting Mandrills [Foil],common,[],Khans of Tarkir,expansion
213757,Auramancer,common,[],Odyssey,expansion
213758,Auramancer [Foil],common,[],Odyssey,expansion
213759,Smart Ass,common,[],Unhinged,funny
213760,Smart Ass [Foil],common,[],Unhinged,funny
213761,Aura Blast,common,[],Planeshift,expansion
213762,Aura Blast [Foil],common,[],Planeshift,expansion
213763,Expedition Diviner,common,[],Zendikar Rising,expansion
213764,Expedition Diviner [Foil],common,[],Zendikar Rising,expansion
213765,Thraben Inspector,common,[],Mystery Booster,masters
213766,Warrior's Honor,common,[],Tenth Edition,core
213767,Warrior's Honor [Foil],common,[],Tenth Edition,core
213768,Pooling Venom,uncommon,[],Future Sight,expansion
213769,Pooling Venom [Foil],uncommon,[],Future Sight,expansion
213770,Slash the Ranks,rare,[],Commander Legends,draft_innovation
213771,Slash the Ranks [Foil],rare,[],Commander Legends,draft_innovation
213772,"Kazuul, Tyrant of the Cliffs",rare,[],Worldwake,expansion
213773,"Kazuul, Tyrant of the Cliffs [Foil]",rare,[],Worldwake,expansion
213774,Rootwater Matriarch,rare,[],Tenth Edition,core
213775,Rootwater Matriarch [Foil],rare,[],Tenth Edition,core
213776,Elven Fortress,common,[],Fallen Empires,expansion
213777,Ketria Triome [Promo] [Foil],rare,[],Ikoria: Lair of Behemoths Promos,promo
213778,Darksteel Axe,common,[],Iconic Masters,masters
213779,Darksteel Axe [Foil],common,[],Iconic Masters,masters
213780,Fertile Ground,common,[],Urza's Saga,expansion
213781,Swamp,common,[],Duel Decks: Izzet vs. Golgari,duel_deck
213782,First Day of Class,common,[],Strixhaven: School of Mages,expansion
213783,First Day of Class [Foil],common,[],Strixhaven: School of Mages,expansion
213784,Ability Punchcard,common,[],Commander 2020 Tokens,token
213785,Mountain Yeti,uncommon,[],Legends,expansion
213786,Camouflage,uncommon,[],Unlimited Edition,core
213787,Press the Advantage,uncommon,[],Dragons of Tarkir,expansion
213788,Press the Advantage [Foil],uncommon,[],Dragons of Tarkir,expansion
213789,Indrik Stomphowler,uncommon,[],Salvat 2005,box
213790,Agonizing Remorse,uncommon,[],Theros Beyond Death,expansion
213791,Agonizing Remorse [Foil],uncommon,[],Theros Beyond Death,expansion
213792,Rare-B-Gone,rare,[],Unhinged,funny
213793,Rare-B-Gone [Foil],rare,[],Unhinged,funny
213794,Druid Class,uncommon,[],Adventures in the Forgotten Realms,expansion
213795,Druid Class [Foil],uncommon,[],Adventures in the Forgotten Realms,expansion
213796,Vampire,common,[],Ixalan Tokens,token
213797,Triskelion,rare,[],Fourth Edition,core
213798,Sporemound,common,[],Commander Legends,draft_innovation
213799,Sporemound [Foil],common,[],Commander Legends,draft_innovation
213800,Bull's Strength,common,[],Adventures in the Forgotten Realms,expansion
213801,Bull's Strength [Foil],common,[],Adventures in the Forgotten Realms,expansion
213802,Time Bomb,rare,[],Ice Age,expansion
213803,Necropolis Fiend,rare,[],Khans of Tarkir,expansion
213804,Necropolis Fiend [Foil],rare,[],Khans of Tarkir,expansion
213805,Deranged Assistant,common,[],Ultimate Masters,masters
213806,Deranged Assistant [Foil],common,[],Ultimate Masters,masters
213807,Island,common,[],Fifth Edition,core
213808,Sorcerer's Strongbox,uncommon,[],Archenemy,archenemy
213809,Iron-Barb Hellion,uncommon,[],Salvat 2005,box
213810,Reckless Charge,common,[],Odyssey,expansion
213811,Reckless Charge [Foil],common,[],Odyssey,expansion
213812,Hibernation's End,rare,[],Coldsnap,expansion
213813,Hibernation's End [Foil],rare,[],Coldsnap,expansion
213814,Azorius Guildgate,common,[],Commander 2013,commander
213815,Marshmist Titan,common,[],Born of the Gods,expansion
213816,Marshmist Titan [Foil],common,[],Born of the Gods,expansion
213817,Shadow Stinger,uncommon,[],Zendikar Rising,expansion
213818,Shadow Stinger [Foil],uncommon,[],Zendikar Rising,expansion
213819,Gratuitous Violence,rare,[],Conspiracy: Take the Crown,draft_innovation
213820,Gratuitous Violence [Foil],rare,[],Conspiracy: Take the Crown,draft_innovation
213821,Hunting Triad,uncommon,[],Morningtide,expansion
213822,Hunting Triad [Foil],uncommon,[],Morningtide,expansion
213823,Shadowblood Ridge,rare,[],Commander 2020,commander
213824,Tradewind Rider,rare,[],Tempest,expansion
213825,Power of Fire,common,[],Conspiracy,draft_innovation
213826,Power of Fire [Foil],common,[],Conspiracy,draft_innovation
213827,Wicked Wolf,rare,[],Throne of Eldraine,expansion
213828,Wicked Wolf [Foil],rare,[],Throne of Eldraine,expansion
213829,"Chandra, Pyromaster [Promo] [Foil]",mythic,[],San Diego Comic-Con 2014,promo
213830,Ethercaste Knight,common,[],Alara Reborn,expansion
213831,Ethercaste Knight [Foil],common,[],Alara Reborn,expansion
213832,Chainbreaker,common,[],Shadowmoor,expansion
213833,Chainbreaker [Foil],common,[],Shadowmoor,expansion
213834,Expose to Daylight,common,[],Ravnica Allegiance,expansion
213835,Expose to Daylight [Foil],common,[],Ravnica Allegiance,expansion
213836,Arbalest Elite,uncommon,[],Magic 2012,core
213837,Arbalest Elite [Foil],uncommon,[],Magic 2012,core
213838,Zombie Giant,common,[],Duel Decks: Nissa vs. Ob Nixilis,duel_deck
213839,Arboria,uncommon,[],Legends,expansion
213840,Gemstone Mine,uncommon,[],Weatherlight,expansion
213841,Boros Guildgate,common,[],Commander 2017,commander
213842,Necrogen Spellbomb,common,[],Mirrodin,expansion
213843,Necrogen Spellbomb [Foil],common,[],Mirrodin,expansion
213844,Glen Elendra Archmage,rare,[],Eventide,expansion
213845,Glen Elendra Archmage [Foil],rare,[],Eventide,expansion
213846,Tidehollow Sculler,uncommon,[],Modern Masters,masters
213847,Tidehollow Sculler [Foil],uncommon,[],Modern Masters,masters
213848,Caged Sun,rare,[],Commander 2014,commander
213849,Deathknell Kami,common,[],Saviors of Kamigawa,expansion
213850,Deathknell Kami [Foil],common,[],Saviors of Kamigawa,expansion
213851,Oran-Rief Invoker,common,[],Battle for Zendikar,expansion
213852,Oran-Rief Invoker [Foil],common,[],Battle for Zendikar,expansion
